Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2,
12/31/1985,19:42:39,799,5.3,5,0,29.05,34.99,0,Saudi-Arabia,F,4.9,16.5471,5,
12/31/1985,17:04:10,611,5.3,5.1,0,29.51,34.86,15,Arava,F,4.9,16.5471,5,
8/3/1988,20:42:33,928,5,4.9,0,35.7041,35.7225,0,E.Mediter.Sea,EQ,4.6,16.02,4.6,
3/31/1989,0:44:14,531,5.4,5.3,0,31.8781,37.459,12,W.Sirhan,F,5,16.7304,5.1,
8/3/1993,12:43:08,373,5.8,5.6,0,28.4495,34.8221,13,Saudi-Arabia,F ,6.1,,6.1,*
8/3/1993,16:33:22,423,5.6,5.4,0,28.7954,34.8241,4,Aragonese-Deep,F,5.7,,5.7,*
11/3/1993,18:39:24,969,5.3,5.2,0,27.984,34.8799,16,Red-Sea,F,4.9,16.5471,5,
11/8/1993,1:05:55,338,5,5,0,28.0431,34.805,9,Red-Sea,EQ,4.6,16.02,4.6,
2/23/1995,21:03:08,107,5.2,5.1,0,34.831,32.661,9,Cyprus,F,4.8,16.3676,4.8,
11/22/1995,4:15:11,968,6.4,6,7.2,28.7617,34.6885,14,Aragonese-Deep,F ,7.2,,7.2,
11/22/1995,11:37:15,390,5,4.9,0,28.8197,34.4612,8,Sinai,EQ,4.6,16.02,4.6,
11/22/1995,12:47:03,776,5.4,5.2,0,28.4513,34.8283,5,Saudi-Arabia,F,5,16.7304,5.1,
11/22/1995,22:16:55,110,5.5,5.3,0,28.5338,34.7344,10,Arnona-Dakar-Deep,F,5.1,16.9175,5.2,
11/23/1995,18:07:11,447,5.4,5.2,0,28.7525,34.9438,5,Saudi-Arabia,F,5,16.7304,5.1,
11/24/1995,16:43:42,783,5.3,5.2,0,28.6669,34.9589,10,Saudi-Arabia,F,4.9,16.5471,5,
12/11/1995,1:32:03,472,5.4,5.2,0,28.5567,34.7933,11,Arnona-Dakar-Deep,F,5,16.7304,5.1,
1/3/1996,10:05:27,324,5.2,5.1,0,28.7006,34.7318,3,Aragonese-Deep,EQ,4.8,16.3676,4.8,
2/21/1996,4:59:53,912,5.3,5.2,0,28.8737,34.6673,16,Aragonese-Deep,F ,4.9,16.5471,5,
2/26/1996,7:17:09,875,5.6,5.4,0,28.8716,34.63,17,Aragonese-Deep,F ,5.2,17.1084,5.3,
10/9/1996,13:10:54,467,6.1,5.8,5.4,34.4167,32.2964,33,E.Mediter.Sea,F,5.4,,5.4,
10/21/1996,6:00:52,737,5.3,5.2,0,34.3208,32.3142,32,Cyprus,EQ,4.9,16.5471,5,
11/27/1996,0:44:23,597,5.1,5,0,34.4359,32.1935,10,Cyprus,F,4.7,16.1919,4.7,
12/20/1996,7:21:21,843,5.3,5.2,0,27.7986,33.1474,25,Suez,EQ,4.9,16.5471,5,
1/13/1997,10:19:25,27,5.9,5.6,0,34.2701,32.4718,11,Cyprus,F ,5.7,,5.7,*
3/26/1997,4:22:51,243,5.5,5.3,0,33.8643,35.3913,5,E.Mediter.Sea,F,5.1,16.9175,5.2,
3/26/1997,13:20:21,794,5.2,5.2,0,33.7031,35.5653,3,Roum,F,4.8,16.3676,4.8,
5/10/1997,23:01:43,81,5.3,5.1,0,27.9694,34.7165,3,Red-Sea,EQ,4.9,16.5471,5,
5/25/1999,17:15:26,207,5.3,5.2,0,34.4233,32.3843,10,Cyprus,F,4.9,16.5471,5,
8/11/1999,4:26:58,693,5.6,5.4,0,34.6743,33.0036,32,Cyprus,F,5.2,17.1084,5.3,
2/11/2004,8:15:02,912,5.2,5.1,0,31.7002,35.5461,18,Dead-Sea-Basin,F ,4.8,16.3676,4.8,
2/2/2006,9:49:41,679,5,5,0,27.2428,34.9038,5,Red-Sea,EQ,4.6,16.02,4.6,
3/8/1993,13:45:02,151,4.9898,,,28.61,34.64,3.1135,,,,,,
8/9/1993,6:05:06,708,4.957,,,28.924335,34.685978,38,,,,,,
12/26/1995,6:19:38,193,4.98,,,28.89217,34.607204,30.7768,,,,,,
12/6/1995,17:57:51,958,4.96,,,28.68899,34.871044,13.1756,,,,,,
4/6/2000,6:37:34,609,4.97,,,28.802458,34.82365,18.807,,,,,,