dateEQ: 2008-02-03T17:05:21,
AA, POR, BHE, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BHN, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BHZ, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLE, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLN, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLZ, 32.75144, 35.5405, 440.753683182, 0
AA, RDG, BHE, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BHN, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BHZ, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLE, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLN, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLZ, 32.10414, 34.77757, 364.376225097, 0
AA, REH, BHE, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BHN, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BHZ, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLE, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLN, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLZ, 31.87552, 34.81699, 338.956084224, 0
AA, ROD1, BHE, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BHN, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BHZ, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLE, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLN, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLZ, 29.58002, 34.97787, 85.0847760122, 0
AA, ROI, BHE, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BHN, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BHZ, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLE, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLN, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLZ, 32.24821, 35.48796, 384.848227577, 0
AA, ROSH, BHE, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BHN, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BHZ, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLE, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLN, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLZ, 32.97043, 35.54647, 464.863052063, 0
AA, RTM, BHE, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BHN, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BHZ, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLE, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLN, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLZ, 31.06535, 35.19728, 251.091701461, 0
AA, SVT, BHE, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BHN, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BHZ, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLE, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLN, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLZ, 30.90679, 34.39781, 235.949834009, 0
AA, TMR, BHE, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BHN, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BHZ, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLE, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLN, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLZ, 31.06535, 35.19728, 251.091701461, 0
AA, TVR, BHE, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BHN, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BHZ, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLE, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLN, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLZ, 32.79643, 35.53593, 445.62545888, 0
AA, YIT, BHE, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BHN, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BHZ, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLE, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLN, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLZ, 31.94663, 35.42334, 350.864673649, 0
AA, ZEF, BHE, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BHN, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BHZ, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLE, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLN, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLZ, 32.96866, 35.49344, 463.990184928, 0
AA, ZOF, BHE, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BHN, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BHZ, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLE, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLN, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLZ, 30.56217, 35.18231, 195.660876145, 0
GE, GSI, BLE, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, BLN, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, BLZ, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLE, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLN, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLZ, 1.3039, 97.5755, 7299.99810035, 0
IS, AMAZ, BHE, 31.5325, 34.9154, 300.91662658, 0
IS, AMAZ, BHN, 31.5325, 34.9154, 300.91662658, 0
IS, AMAZ, BHZ, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHE, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHN, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHZ, 31.5325, 34.9154, 300.91662658, 0
IS, ARVI, SHZ, 30.64, 35.187, 204.255704536, 0
IS, ATR, SHE, 30.96825, 34.6431, 239.32353283, 0
IS, ATR, SHN, 30.96825, 34.6431, 239.32353283, 0
IS, ATR, SHZ, 30.96825, 34.6431, 239.32353283, 0
IS, BGIO, SHZ, 31.722, 35.092, 322.607384545, 0
IS, BLGI, SHZ, 32.73338, 35.19126, 435.139877892, 0
IS, DRGI, SHZ, 31.593, 35.392, 311.679341569, 0
IS, DSI, SHE, 31.5933, 35.3922, 311.715264693, 3.69066083344e-05
IS, DSI, SHN, 31.5933, 35.3922, 311.715264693, 8.93476671564e-05
IS, DSI, SHZ, 31.5933, 35.3922, 311.715264693, 1.62569826084e-05
IS, DSI0, SHZ, 31.5918, 35.3933, 311.568316027, 1.58040496274e-07
IS, DSI1, SHZ, 31.59, 35.392, 311.351195955, 0
IS, EIL, SHE, 29.6712, 34.952, 94.8756536241, 0
IS, EIL, SHN, 29.6712, 34.952, 94.8756536241, 0
IS, EIL, SHZ, 29.6712, 34.952, 94.8756536241, 0
IS, ENGI, SHZ, 31.4695, 35.3944, 298.218153031, 0
IS, GEM, BHE, 33.2106, 35.66312, 492.831025376, 0
IS, GEM, BHN, 33.2106, 35.66312, 492.831025376, 0
IS, GEM, BHZ, 33.2106, 35.66312, 492.831025376, 0
IS, GLH, SHZ, 32.713, 35.649, 438.186538149, 0
IS, GLH0, SHZ, 32.713, 35.649, 438.186538149, 0
IS, HAFI, SHE, 32.778, 35.024, 439.246020263, 0
IS, HAFI, SHN, 32.778, 35.024, 439.246020263, 0
IS, HAFI, SHZ, 32.778, 35.024, 439.246020263, 0
IS, HMDT, SHZ, 32.2529, 35.526, 385.940667903, 1.59004961502e-07
IS, HNT0, SHZ, 33.0827, 35.1741, 473.683938336, 1.034719427e-07
IS, HNTI, SHE, 33.0827, 35.1741, 473.683938336, 5.01299216925e-06
IS, HNTI, SHN, 33.0827, 35.1741, 473.683938336, 5.20049095277e-06
IS, HNTI, SHZ, 33.0827, 35.1741, 473.683938336, 0
IS, HRFI, BHE, 30.04, 35.03, 136.31042891, 6.94396902501e-05
IS, HRFI, BHN, 30.04, 35.03, 136.31042891, 6.66362978655e-05
IS, HRFI, BHZ, 30.04, 35.03, 136.31042891, 9.18249237548e-05
IS, HRI, SHZ, 33.266, 35.7338, 499.967848565, 0
IS, HRI0, SHZ, 33.266, 35.7338, 499.967848565, 1.2527467099e-06
IS, HRMI, SHE, 33.268, 35.75, 500.44365669, 0
IS, HRMI, SHN, 33.268, 35.75, 500.44365669, 0
IS, HRMI, SHZ, 33.268, 35.75, 500.44365669, 0
IS, HRSH, SHZ, 32.698, 35.28, 431.916375384, 0
IS, JVI, SHE, 31.938, 35.339, 348.778315786, 0
IS, JVI, SHN, 31.938, 35.339, 348.778315786, 0
IS, JVI, SHZ, 31.938, 35.339, 348.778315786, 0
IS, KER, SHZ, 30.9952, 34.4436, 244.789352651, 0
IS, KMT0, SHZ, 30.1177, 34.7257, 144.702923738, 0
IS, KMTI, SHE, 30.1043, 34.7251, 143.230220243, 0
IS, KMTI, SHN, 30.1043, 34.7251, 143.230220243, 0
IS, KMTI, SHZ, 30.1043, 34.7251, 143.230220243, 0
IS, KRM0, SHZ, 30.11744, 34.72503, 144.68051247, 0
IS, KRMI, SHE, 30.1178, 34.7257, 144.713956975, 0.000329681713012
IS, KRMI, SHN, 30.1178, 34.7257, 144.713956975, 0.000201003890337
IS, KRMI, SHZ, 30.1178, 34.7257, 144.713956975, 0.000139233339955
IS, KSDI, SHZ, 33.192, 35.6576, 490.71288577, 0
IS, KSH0, SHZ, 32.982, 35.811, 470.308614065, 1.48698803197e-07
IS, KSHT, SHZ, 32.982, 35.811, 470.308614065, 0
IS, KZIT, BHE, 30.9067, 34.3979, 235.938368938, 0.000175084464943
IS, KZIT, BHN, 30.9067, 34.3979, 235.938368938, 2.50916294807e-05
IS, KZIT, BHZ, 30.9067, 34.3979, 235.938368938, 6.95928575844e-05
IS, KZIT, SHE, 30.9067, 34.3979, 235.938368938, 0
IS, KZIT, SHN, 30.9067, 34.3979, 235.938368938, 0
IS, KZIT, SHZ, 30.9067, 34.3979, 235.938368938, 0
IS, MASH, SHZ, 31.00123, 34.78843, 242.106236035, 0
IS, MBH, SHZ, 29.79253, 34.9153, 108.076495324, 0
IS, MBH0, SHZ, 29.79253, 34.9153, 108.076495324, 0
IS, MBRI, SHE, 29.79329, 34.9152, 108.160268089, 2.70493484177e-09
IS, MBRI, SHN, 29.79329, 34.9152, 108.160268089, 3.06921841817e-09
IS, MBRI, SHZ, 29.79329, 34.9152, 108.160268089, 1.57356412834e-09
IS, MGI, SHZ, 32.4391, 35.411, 404.755887087, 0
IS, MKT, SHE, 30.948, 35.151, 237.640075263, 0
IS, MKT, SHN, 30.948, 35.151, 237.640075263, 0
IS, MKT, SHZ, 30.948, 35.151, 237.640075263, 0
IS, MMA0, BHZ, 33.01518, 35.40311, 468.086595219, 2.7676784879e-06
IS, MMA0B, BH1, 33.01527, 35.40305, 468.095890087, 3.81544973791e-07
IS, MMA0B, BH2, 33.01527, 35.40305, 468.095890087, 4.20730388433e-07
IS, MMA0B, BHE, 33.01527, 35.40305, 468.095890087, 0
IS, MMA0B, BHN, 33.01527, 35.40305, 468.095890087, 0
IS, MMA0B, BHZ, 33.01527, 35.40305, 468.095890087, 4.87953919601e-07
IS, MMA1, BHZ, 33.01812, 35.40311, 468.410627388, 3.16946765558e-06
IS, MMA2, BHZ, 33.01249, 35.40572, 467.81736832, 1.54946335801e-06
IS, MMA3, BHZ, 33.01205, 35.40572, 467.768877326, 1.51613577077e-06
IS, MMA4, BHZ, 33.01462, 35.39752, 467.966986791, 1.85139226595e-06
IS, MMB1, BHZ, 33.01513, 35.41081, 468.161799286, 2.98975203882e-06
IS, MMB2, BHZ, 33.00971, 35.39526, 467.402507464, 2.16096803358e-06
IS, MMB3, BHZ, 33.01954, 35.38714, 468.403549789, 5.87671383349e-06
IS, MMB4, BHZ, 33.02084, 35.40199, 468.698786078, 5.50020691557e-06
IS, MMC1, BHZ, 33.03052, 35.40368, 469.783239605, 1.28500549463e-05
IS, MMC2, BHZ, 33.02681, 35.41164, 469.457639937, 9.63031774683e-06
IS, MMC3, BHZ, 33.01826, 35.41381, 468.538442208, 9.58545409326e-06
IS, MMC4, BHZ, 33.00722, 35.41861, 467.373259961, 1.3552750311e-06
IS, MMC5, BHZ, 33.00869, 35.41269, 467.472065253, 1.48820497929e-06
IS, MMC6, BHZ, 33.01203, 35.39151, 467.619890864, 3.42519977312e-06
IS, MMC7, BHZ, 33.02205, 35.39256, 468.735227619, 4.31548974416e-06
IS, MML, SHZ, 32.4394, 35.4126, 404.808561983, 0
IS, MMLI, BHE, 32.438, 35.422, 404.771538722, 2.3942012375e-05
IS, MMLI, BHN, 32.438, 35.422, 404.771538722, 1.74576527187e-05
IS, MMLI, BHZ, 32.438, 35.422, 404.771538722, 1.80303444704e-05
IS, MMLI, SHZ, 32.4394, 35.4126, 404.808561983, 54908.2639314
IS, MNFI, SHZ, 32.851, 35.2393, 448.489849315, 0
IS, MSDA, SHZ, 31.315, 35.289, 279.708916211, 0
IS, MSH, SHZ, 31.0012, 34.7883, 242.103317444, 0
IS, MZD0, SHZ, 31.3107, 35.36281, 280.356608695, 0
IS, MZDA, SHE, 31.3106, 35.3629, 280.347158543, 2.67624478163e-07
IS, MZDA, SHN, 31.3106, 35.3629, 280.347158543, 3.23710239887e-07
IS, MZDA, SHZ, 31.3106, 35.3629, 280.347158543, 1.15179290592e-07
IS, NSH, SHZ, 31.816, 34.979, 332.485881818, 0
IS, NVA, SHZ, 33.268, 35.75, 500.44365669, 0
IS, OFRI, SHZ, 32.6217, 34.9862, 421.81169044, 2.4465487472e-06
IS, PRN0, SHZ, 30.3522, 35.0052, 170.534176897, 1.42527500441e-07
IS, PRNI, SHE, 30.3522, 35.0052, 170.534176897, 4.54099886942e-05
IS, PRNI, SHN, 30.3522, 35.0052, 170.534176897, 2.59521167807e-05
IS, PRNI, SHZ, 30.3522, 35.0052, 170.534176897, 0.000210027051036
IS, RMN, SHZ, 30.5964, 34.762, 197.371839381, 0
IS, RMN0, SHZ, 30.5964, 34.762, 197.371839381, 1.01328732941e-07
IS, RMNI, SHZ, 30.5964, 34.762, 197.371839381, 0
IS, RMNO, SHZ, 30.5964, 34.762, 197.371839381, 0
IS, RTMI, SHZ, 31.05451, 34.69116, 248.483562063, 3.90961391931e-07
IS, RTMM, SHZ, 31.051, 34.6863, 248.128345121, 0
IS, SAGI, SHE, 30.2042, 34.6773, 154.743935519, 0
IS, SAGI, SHN, 30.2042, 34.6773, 154.743935519, 0
IS, SAGI, SHZ, 30.2042, 34.6773, 154.743935519, 0
IS, SDOM, SHZ, 31.078, 35.386, 255.406361048, 0
IS, SGI, SHE, 30.2042, 34.6773, 154.743935519, 0
IS, SGI, SHN, 30.2042, 34.6773, 154.743935519, 0
IS, SGI, SHZ, 30.2042, 34.6773, 154.743935519, 0
IS, SLT0, SHZ, 32.2408, 35.041, 379.780759688, 17292.5281245
IS, SLTI, SHE, 32.2408, 35.041, 379.780759688, 1.45258556732e-07
IS, SLTI, SHN, 32.2408, 35.041, 379.780759688, 2.10610587169e-07
IS, SLTI, SHZ, 32.2408, 35.041, 379.780759688, 7.64417743125e-07
IS, SVTA, SHZ, 30.932, 34.617, 235.569572493, 0
IS, SZAF, SHZ, 30.897, 34.547, 232.519845098, 0
IS, YASH, SHZ, 29.5853, 34.8809, 85.0209532267, 0
IS, YTIR, SHZ, 31.36255, 35.1157, 283.037726916, 0
IS, YTR0, SHZ, 31.36255, 35.1157, 283.037726916, 7.55437721807e-08
IS, ZELM, SHZ, 31.095, 34.528, 254.518183429, 0
IS, ZFR0, SHZ, 30.5649, 35.1787, 195.906140395, 0
IS, ZFRI, SHZ, 30.5649, 35.1787, 195.906140395, 1.9930244316e-07
IS, ZNT, SHE, 32.239, 35.027, 379.525464913, 0
IS, ZNT, SHN, 32.239, 35.027, 379.525464913, 0
IS, ZNT, SHZ, 32.239, 35.027, 379.525464913, 0
JS, AJLJ, HHE, 32.327, 35.727, 397.581495809, 0
JS, AJLJ, HHN, 32.327, 35.727, 397.581495809, 0
JS, AJLJ, HHZ, 32.327, 35.727, 397.581495809, 0
JS, AQBJ, HHE, 29.71957, 35.00349, 100.743343177, 0
JS, AQBJ, HHN, 29.71957, 35.00349, 100.743343177, 0
JS, AQBJ, HHZ, 29.71957, 35.00349, 100.743343177, 0
JS, ASF, BHE, 32.173, 36.8473, 417.549844013, 0
JS, ASF, BHN, 32.173, 36.8473, 417.549844013, 0
JS, ASF, BHZ, 32.173, 36.8473, 417.549844013, 0
JS, DRHJ, HHE, 29.35704, 34.96297, 60.4033143144, 0
JS, DRHJ, HHN, 29.35704, 34.96297, 60.4033143144, 0
JS, DRHJ, HHZ, 29.35704, 34.96297, 60.4033143144, 0
JS, KARJ, HHE, 32.016016, 35.550708, 360.487661151, 0
JS, KARJ, HHN, 32.016016, 35.550708, 360.487661151, 0
JS, KARJ, HHZ, 32.016016, 35.550708, 360.487661151, 0
JS, SHMJ, HHE, 32.727, 35.75, 441.458056897, 0
JS, SHMJ, HHN, 32.727, 35.75, 441.458056897, 0
JS, SHMJ, HHZ, 32.727, 35.75, 441.458056897, 0
TU, ANDN, HHE, 37.58, 36.3452, 981.402042624, 0
TU, ANDN, HHN, 37.58, 36.3452, 981.402042624, 0
TU, ANDN, HHZ, 37.58, 36.3452, 981.402042624, 0
TU, HAKT, BHE, 37.5579, 43.7071, 1270.96446797, 0
TU, HAKT, BHN, 37.5579, 43.7071, 1270.96446797, 0
TU, HAKT, BHZ, 37.5579, 43.7071, 1270.96446797, 0
